"","termin_wycieczki","wyzywienie","organizator","region","miejscowosc","ocena_wycieczki","hotel_nazwa","hotel_gwiazdki","id_wycieczki","liczba_rezerwacji","cena_za_osobe","data_aktualizacji"
"21",2019-03-18,"œniadania i obiadokolacje","Itaka","Fuerteventura","Costa Calma",8.3,"R2 Rio Calma",5,"442072",300,2879,2018-12-23
"22",2019-03-25,"œniadania i obiadokolacje","Itaka","Fuerteventura","Corralejo",8.4,"Oasis Dunas",3,"442157",136,2389,2018-12-23
"23",2019-03-25,"All Inclusive","Itaka","Fuerteventura","Costa Calma",8.1,"SBH Costa Calma Beach Resort",4,"442044",649,2969,2018-12-23
"24",2019-03-09,"œniadania","Exim Tours","Costa del Sol","Torremolinos",8,"Blue Sea Gran Cervantes",4,"491775",148,1479,2018-12-23
"25",2019-03-14,"All Inclusive","Rainbow","Fuerteventura","Caleta de Fuste",7.3,"Club Caleta Dorada",3,"359570",161,1714,2018-12-23
"26",2019-03-14,"All Inclusive","Rainbow","Fuerteventura","Corralejo",8.3,"Aloe Club",3.5,"180551",210,2085,2018-12-23
"27",2019-05-23,"œniadania i obiadokolacje","Itaka","Teneryfa","Puerto de la Cruz",7.2,"Blue Sea Interpalace (ex. Hostasa)",4,"441954",198,2249,2018-12-23
"28",2019-05-16,"All Inclusive","Itaka","Teneryfa","Puerto de la Cruz",7.6,"Blue Sea Puerto Resort",4,"441964",196,2539,2018-12-23
"29",2019-03-09,"bez wy¿ywienia","Exim Tours","Teneryfa",NA,6.9,"Annapurna Tenerife (ex Alborada Beach Club)",3,"491661",400,1579,2018-12-23
"30",2019-05-11,"bez wy¿ywienia","Wezyr","Costa Brava","Santa Susanna",7,"H- Top Summer Sun (ex. Sant Jordi)",3,"360782",1432,1560,2018-12-23
"31",2019-03-14,"All Inclusive","Rainbow","Fuerteventura","Caleta de Fuste",9,"Elba Carlota",4.5,"198601",246,2445,2018-12-23
